,0GtC,,,1280GtC,,,2560GtC,,,3840GtC,,,5120GtC,,
Year (AD),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm)
1911.5,13.392,1.652,296.997,13.392,1.652,296.997,13.392,1.652,296.997,13.386,1.652,296.926,13.392,1.652,296.997
1912.5,13.371,1.655,297.351,13.371,1.655,297.351,13.371,1.655,297.351,13.367,1.655,297.286,13.371,1.655,297.351
1913.5,13.324,1.667,297.448,13.324,1.667,297.448,13.324,1.667,297.448,13.324,1.667,297.389,13.324,1.667,297.448
1914.5,13.351,1.589,297.584,13.351,1.589,297.584,13.351,1.589,297.584,13.356,1.589,297.536,13.351,1.589,297.584
1915.5,13.377,1.561,297.852,13.377,1.561,297.852,13.377,1.561,297.852,13.388,1.561,297.823,13.377,1.561,297.852
1916.5,13.389,1.608,298.183,13.389,1.608,298.183,13.389,1.608,298.183,13.399,1.608,298.173,13.389,1.608,298.183
1917.5,13.408,1.651,298.549,13.408,1.651,298.549,13.408,1.651,298.549,13.421,1.651,298.558,13.408,1.651,298.549
1918.5,13.427,1.627,298.964,13.427,1.627,298.964,13.427,1.627,298.964,13.434,1.627,298.992,13.427,1.627,298.964
1919.5,13.438,1.545,299.360,13.438,1.545,299.360,13.438,1.545,299.360,13.446,1.545,299.403,13.438,1.545,299.360
1920.5,13.443,1.613,299.730,13.443,1.613,299.730,13.443,1.613,299.730,13.450,1.613,299.785,13.443,1.613,299.730
1921.5,13.440,1.572,300.071,13.440,1.572,300.071,13.440,1.572,300.071,13.446,1.572,300.136,13.440,1.572,300.071
1922.5,13.444,1.602,300.355,13.444,1.602,300.355,13.444,1.602,300.355,13.449,1.602,300.428,13.444,1.602,300.355
1923.5,13.450,1.704,300.683,13.450,1.704,300.683,13.450,1.704,300.683,13.452,1.704,300.762,13.450,1.704,300.683
1924.5,13.442,1.721,301.004,13.442,1.721,301.004,13.442,1.721,301.004,13.444,1.721,301.088,13.442,1.721,301.004
1925.5,13.440,1.732,301.266,13.440,1.732,301.266,13.440,1.732,301.266,13.448,1.732,301.354,13.440,1.732,301.266
1926.5,13.457,1.756,301.586,13.457,1.756,301.586,13.457,1.756,301.586,13.462,1.756,301.681,13.457,1.756,301.586
1927.5,13.472,1.847,301.980,13.472,1.847,301.980,13.472,1.847,301.980,13.480,1.847,302.077,13.472,1.847,301.980
1928.5,13.483,1.875,302.409,13.483,1.875,302.409,13.483,1.875,302.409,13.489,1.875,302.509,13.483,1.875,302.409
1929.5,13.492,1.924,302.845,13.492,1.924,302.845,13.492,1.924,302.845,13.498,1.924,302.943,13.492,1.924,302.845
1930.5,13.493,1.855,303.240,13.493,1.855,303.240,13.493,1.855,303.240,13.496,1.855,303.334,13.493,1.855,303.240
1931.5,13.493,1.760,303.573,13.493,1.760,303.573,13.493,1.760,303.573,13.494,1.760,303.661,13.493,1.760,303.573
1932.5,13.481,1.681,303.803,13.481,1.681,303.803,13.481,1.681,303.803,13.485,1.681,303.881,13.481,1.681,303.803
1933.5,13.487,1.709,304.003,13.487,1.709,304.003,13.487,1.709,304.003,13.489,1.709,304.077,13.487,1.709,304.003
1934.5,13.497,1.770,304.268,13.497,1.770,304.268,13.497,1.770,304.268,13.496,1.770,304.336,13.497,1.770,304.268
1935.5,13.507,1.829,304.595,13.507,1.829,304.595,13.507,1.829,304.595,13.508,1.829,304.655,13.507,1.829,304.595
1936.5,13.520,1.925,304.982,13.520,1.925,304.982,13.520,1.925,304.982,13.521,1.925,305.036,13.520,1.925,304.982
1937.5,13.537,1.972,305.429,13.537,1.972,305.429,13.537,1.972,305.429,13.536,1.972,305.477,13.537,1.972,305.429
1938.5,13.544,1.936,305.867,13.544,1.936,305.867,13.544,1.936,305.867,13.541,1.936,305.906,13.544,1.936,305.867
1939.5,13.553,1.973,306.290,13.553,1.973,306.290,13.553,1.973,306.290,13.550,1.973,306.318,13.553,1.973,306.290
1940.5,13.558,2.052,306.726,13.558,2.052,306.726,13.558,2.052,306.726,13.555,2.052,306.747,13.558,2.052,306.726
1941.5,13.563,2.093,307.165,13.563,2.093,307.165,13.563,2.093,307.165,13.561,2.093,307.182,13.563,2.093,307.165
1942.5,13.568,2.127,307.590,13.568,2.127,307.590,13.568,2.127,307.590,13.566,2.127,307.603,13.568,2.127,307.590
1943.5,13.566,2.166,308.005,13.566,2.166,308.005,13.566,2.166,308.005,13.566,2.166,308.017,13.566,2.166,308.005
1944.5,13.571,2.146,308.400,13.571,2.146,308.400,13.571,2.146,308.400,13.573,2.146,308.412,13.571,2.146,308.400
1945.5,13.578,2.001,308.752,13.578,2.001,308.752,13.578,2.001,308.752,13.578,2.001,308.766,13.578,2.001,308.752
1946.5,13.587,2.116,309.112,13.587,2.116,309.112,13.587,2.116,309.112,13.586,2.116,309.123,13.587,2.116,309.112
